Upon his return , he discovered the betrayal and promptly excommunicated all the priests involved .	À son retour , il découvrit la trahison et a promptement excommunié tous les prêtres impliqués .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 10-11 11-12 12-13 13-14 14-15 15-16
When a competent authority needs information from a counterpart abroad , it can send a request for information .	Quand une autorité compétente a besoin d’ une information d’ un homologue étranger , elle peut envoyer une demande d’ information .	0-0 1-1 2-3 3-2 4-4 4-5 5-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21
The family lives in New York .	La famille vit à New York .	0-0 1-1 2-2 3-3 4-4 5-5 6-6
His best result was a fourth place .	Son meilleur résultat est une 4e place .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
The physical constant known as the Rydberg constant is named after him , as is the Rydberg unit .	La constante physique dite constante de Rydberg est nommée en son honneur , tout comme l' unité Rydberg .	0-0 1-2 2-1 3-3 5-4 6-5 6-6 7-4 8-7 9-8 10-9 11-10 11-11 12-12 13-14 15-15 16-17 17-16 18-18
When she was a child , she had asthma .	Pendant qu' elle était enfant , elle a souffert d' asthme .	0-0 0-1 1-2 2-3 3-4 4-4 5-5 6-6 7-7 7-8 8-10 9-11
Many important properties of physical systems can be represented mathematically as matrix problems .	De nombreuses propriétés importantes des systèmes physiques peuvent être représentés mathématiquement comme des problèmes de la matrice .	0-1 2-0 2-2 1-3 3-4 4-6 5-5 6-7 7-8 8-9 9-10 10-11 11-14 11-15 11-16 12-12 12-13 13-17
This biogeochemical cycle describes the movement of oxygen within and between its three main reservoirs on Earth : the atmosphere , the biosphere , and the lithosphere .	Ce cycle biogéochimique décrit les mouvements du dioxygène à l' intérieur et entre ses trois principaux réservoirs sur Terre : l' atmosphère , la biosphère et la lithosphère .	0-0 1-2 2-1 3-3 4-4 5-5 6-6 7-6 7-7 8-8 8-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 24-25 26-26 26-27 27-28
In this film Masuda dressed in Yamamoto 's Ready - to - wear collection .	Dans ce film , Masuda est vêtu de la collection de prêt-à-porter de Yamamoto .	0-0 1-1 2-2 3-4 4-5 4-6 5-7 6-13 7-12 8-11 9-11 10-11 11-11 12-11 13-8 13-9 14-14
Only the competent authorities that are directly involved in an information exchange can have access to the content .	Seules les autorités compétentes directement impliquées dans l’ échange d’ informations peuvent avoir accès au contenu .	0-0 1-1 2-3 3-2 6-4 7-5 8-6 9-7 10-9 10-10 11-8 12-11 13-12 14-13 15-14 16-14 17-15 18-16
Peel refused to govern under the restrictions imposed by the Queen .	Peel refusa de gouverner selon les conditions imposées par la reine .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11
The CIL presently consists of 17 volumes in about 70 parts , recording approximately 180,000 inscriptions .	Le CIL comporte actuellement 17 volumes avec plus de 70 fascicules et contient environ 180000 inscriptions .	0-0 1-1 2-3 3-2 4-2 5-4 6-5 7-6 8-7 8-8 9-9 10-10 12-12 13-13 14-14 15-15 16-16
As at December 2017 , over 30 million end users had engaged with chatbots built on the SnatchBot platform .	En décembre 2017 , plus de 30 millions d' utilisateurs finaux avaient discuté avec des dialogueurs construits sur la plateforme SnatchBot .	1-0 2-1 3-2 4-3 5-4 5-5 6-6 7-7 7-8 8-10 9-9 10-11 11-12 12-13 13-14 13-15 14-16 15-17 16-18 17-20 18-19 19-21
In 2000 , the church was refurbished both internally and externally .	En 2000 , l' église a été restaurée aussi bien extérieurement qu' intérieurement .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 7-9 8-10 9-11 10-12 11-13
He published pictures of them in the local newspapers with their names printed across their chests , as if they were criminals .	Il a publié leurs photos avec leurs noms imprimés sur leurs poitrines dans les journaux locaux comme si ils étaient des criminels .	0-0 1-1 1-2 2-4 3-3 4-3 5-12 6-13 7-15 8-14 9-5 10-6 11-7 12-8 13-9 14-10 15-11 17-16 18-17 19-18 20-19 21-20 21-21 22-22
At the wedding of Peleus and Thetis , all the deities were invited except the goddess of discord , Eris .	Aux noces de Pélée et Thétis , tous les dieux sont conviés sauf la déesse de la Discorde , Éris .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 17-17 18-18 19-19 20-20
Under the Fourth Republic ( 1946 – 1958 ) , the federation was represented in the French parliament .	Sous la IVe République ( 1946 - 1958 ) , la fédération est représentée au parlement français .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-14 16-16 17-15 18-17
Wham ! were an English pop duo formed by George Michael and Andrew Ridgeley in 1981 .	Wham ! est un groupe de musique pop anglais , formé par George Michael et Andrew Ridgeley en 1981 .	0-0 1-1 2-2 3-3 4-8 5-5 5-6 5-7 6-4 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19
This objective receives more than 80 % of total ESF funding .	Cet objectif reçoit plus de 80 % des financements du FSE .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 9-9 9-10 10-8 11-11
Winners from previous editions are invited to perform as special guests .	Des lauréats des éditions précédentes sont invités à se produire en tant qu' invités d' honneur .	0-0 0-1 1-2 2-4 3-2 3-3 4-4 5-6 6-7 7-8 7-9 8-10 8-11 8-12 9-14 9-15 10-13 11-16
She may live up to 13 years .	Elle peut vivre jusqu’ à 13 ans .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
It is mentioned for the first time in the 12th century .	Il est mentionné pour la première fois au XIIe siècle .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 11-10
The oldest document , known to date , which includes the name Flambertenges , is a deed of the year 1066 .	Le document le plus ancien , connu à ce jour , qui comprend le nom Flambertenges , est un acte de l' année 1066 .	0-0 1-2 1-3 1-4 2-1 3-5 4-6 5-7 6-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-23 21-24
While Greenberg did not like the album , he did like Nick 's voice .	Même s' Greenberg_ n' apprécie pas le style de l' album , il admire la voix de Nick .	0-0 0-1 1-2 2-3 3-5 4-4 5-6 6-9 6-10 7-11 8-12 9-13 10-13 11-17 12-16 13-15 14-18
Leonardo 's vision was resurrected in 2001 when a smaller bridge based on his design was constructed in Norway .	La vision de Léonard a été ressuscitée en 2001 quand un petit pont conçu selon ses idées a été construit en Norvège .	0-3 1-2 2-0 2-1 3-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 15-18 16-19 17-20 18-21 19-22
IMI allows public administrations at national , regional and local level to identify their counterparts in other countries and to exchange information with them .	IMI permet aux autorités publiques aux niveaux national , régional et local d’ identifier leurs homologues dans d’ autres pays et d’ échanger des informations avec eux .	0-0 1-1 2-4 3-2 3-3 4-5 5-7 6-8 7-9 8-10 11-9 10-6 11-12 12-13 13-14 14-15 15-16 16-18 17-17 17-19 18-20 19-21 20-22 21-23 21-24 22-25 23-26 24-27
The guaraní was divided into 100 céntimos but , because of inflation , céntimos are no longer in use .	Le guaraní était divisé en 100 céntimos , mais à cause de l' inflation , les céntimos ne sont plus utilisés .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-7 9-9 9-10 10-11 11-12 11-13 12-14 13-15 13-16 14-18 15-17 16-19 17-20 18-20 19-21
A post-war military , the Reichswehr , was established on 23 March 1921 .	L' armée d' après-guerre , la Reichswehr , avait été établie le 23 mars 1921 .	0-0 1-2 1-3 2-1 3-4 4-5 5-6 6-7 7-8 7-9 8-10 10-11 10-12 11-13 12-14 13-15
A special Commission for Financial and Administrative Affairs ( CFAA ) is also established to assist the CoR Bureau .	Une commission spéciale des affaires financières et administratives ( CAFA ) a également été créée pour assister le Bureau du CdR .	0-0 1-2 2-1 3-3 4-5 5-6 6-7 7-3 7-4 8-8 9-9 10-10 11-11 11-13 12-12 13-14 14-15 15-16 16-17 17-19 17-20 18-18 19-21
To advance his plan , Woodard traveled to the erstwhile vegetarian / feminist utopia and met with its municipal leadership .	Pour faire progresser son plan , Woodard s' est rendu à l' ancienne utopie végétarienne / féministe et a rencontré ses dirigeants municipaux .	0-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7 6-8 6-9 7-10 8-11 9-12 10-14 11-15 12-16 13-13 14-17 15-18 15-19 17-20 18-22 19-21 20-23
Richness and diversity of life forms contribute to the realization of these values and are also values in themselves .	La richesse et la diversité des formes de vie contribuent à la réalisation de ces valeurs et sont également des valeurs elles-mêmes .	0-0 0-1 1-2 2-3 2-4 3-5 4-7 4-8 5-4 5-6 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 16-19 16-20 18-21 19-22
The movie is much different than the book .	Le film diffère grandement du livre .	0-0 1-1 2-2 3-3 4-2 5-4 6-4 7-5 8-6
Funded by the European Commission , the CoMO is responsible for the overall co-ordination of the initiative .	Financé par la Commission européenne , le CoMO est chargé de la coordination générale de l’ initiative .	0-0 1-1 2-2 3-4 4-3 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-13 13-12 14-14 15-15 16-16 17-17
Since 2010 he writes a monthly column for the magazine Joods Actueel , the most widely circulated Jewish publication in Belgium .	Depuis 2010 , il écrit une rubrique mensuelle pour le magazine ' Joods Actueel ' , le mensuel israélite le plus largement diffusé en Belgique .	0-0 1-1 2-3 3-4 4-5 5-7 6-6 7-8 8-9 9-10 10-12 11-13 12-15 13-16 14-19 14-20 15-21 16-22 17-18 18-17 19-23 20-24 21-25
Users can suggest data they think is missing on the portal and give feedback on the quality of data obtainable .	Les utilisateurs peuvent proposer des données qu’ ils estiment manquer sur le portail et donner leur avis sur la qualité des données accessibles .	0-0 0-1 1-2 2-3 3-4 3-5 4-7 5-8 6-9 7-9 7-9 8-10 9-11 10-12 11-13 12-14 13-15 13-16 14-17 15-18 16-19 17-20 18-20 18-21 19-22 20-23
The central nave is twice as wide as the side aisles .	Le vaisseau central est deux fois plus large que les collatéraux .	0-0 1-2 2-1 3-3 4-4 4-5 5-6 6-7 7-8 8-9 9-10 10-10 11-11
The roots are deep and robust .	Les racines sont profondes et persistantes .	0-0 1-1 2-2 3-3 4-4 5-5 6-6
By the time he arrived in Winnipeg , he had no allegiances to the Russian Orthodox Church or anyone else .	À son arrivée à Winnipeg , il avait aucune allégeance à l' Église russe orthodoxe ou autre .	0-0 1-0 2-0 3-1 4-2 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 15-14 16-12 17-15 18-16 19-16 20-17
During the festival , there were friendly football matches and other events .	Des matches de football amicaux et d' autres événements étaient au menu des festivités .	0-10 0-11 0-12 1-12 2-13 4-9 5-9 6-4 7-2 7-3 8-1 9-5 10-6 10-7 11-8 12-14
The Inuit showed Rae many objects that were identified as having belonged to Franklin and his men .	Les Inuits montrent à Rae de nombreux objets qui sont identifiés comme ayant appartenu à Franklin et ses hommes .	0-0 1-1 2-2 3-3 3-4 4-6 5-5 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19
Yes , Samantha , we in the Soviet Union are trying to do everything so that there will not be war on Earth .	Oui , Samantha , nous en Union soviétique tâchons de tout faire pour qu’ il n’ y ait pas de guerre sur Terre .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-6 7-7 9-8 10-8 11-9 12-11 13-10 14-12 15-13 16-14 16-16 17-17 18-15 18-18 19-17 20-20 21-21 22-22 23-23
Humans have no right to reduce this richness and diversity except to satisfy vital needs .	Les humains n' ont pas le droit de réduire cette richesse et cette diversité sauf pour satisfaire des besoins vitaux .	0-0 0-1 1-3 2-2 2-4 3-5 3-6 4-7 5-8 6-9 7-10 8-11 9-13 10-14 11-15 12-16 13-19 14-17 14-18 15-20
From 1871 it was part of the German Empire .	En 1871 , il est intégré à l' Empire allemand .	0-0 1-1 2-3 3-4 4-5 5-6 6-7 7-9 8-8 9-10
Over the years , Serchuk went to Europe several times to testify in the trials of Nazi war criminals .	Au cours des années , Sertchouk part pour l' Europe à plusieurs reprises afin de témoigner aux procès de criminels de guerre nazis .	0-0 0-1 0-2 1-2 2-3 3-4 4-5 5-6 6-7 7-8 7-9 8-11 9-12 10-13 10-14 11-15 12-16 13-16 14-17 15-18 16-22 17-20 17-21 18-19 19-23
In Greece , the event was attended by Theodoras Zagorakis , a winner of the European Football Championship 2004 with his country 's national team .	En Grèce , Theodoras Zagorakis , vainqueur du Championnat d' Europe de football 2004 avec l' équipe nationale de son pays a participé à l' événement .	0-0 1-1 2-2 3-24 4-25 5-21 6-22 8-3 9-4 10-5 12-6 13-7 14-7 15-9 15-10 16-11 16-12 17-8 18-13 19-14 20-19 21-20 22-18 23-17 24-15 24-16  25-26
The President can dissolve the National Assembly .	Le président peut dissoudre l' Assemblée nationale .	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7
The game is won when a tile with a value of 2048 appears on the board , hence the name of the game .	La partie est gagnée lorsqu' une tuile portant la valeur « 2048 » apparaît sur la grille , d' où le nom du jeu .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-11 12-13 13-14 14-15 15-16 16-17 17-18 17-19 18-20 19-21 20-22 21-22 22-23 23-24
I will reply to you seriously and honestly .	Je vais te répondre avec sérieux et honnêteté .	0-0 1-1 2-3 3-2 4-2 5-4 5-5 6-6 7-4 7-7 8-8
The portal is a key instrument of the EU open data strategy .	Le portail est un instrument essentiel de la stratégie de l’ UE en matière de libre accès aux données .	0-0 1-1 2-2 3-3 4-5 5-4 6-6 7-6 8-9 8-10 8-11 9-12 9-13 9-14 9-15 9-16 10-17 10-18 11-7 11-8 12-19
It is the simplest organic nitro compound .	Il est le plus simple composé organique nitré .	0-0 1-1 2-2 3-3 3-4 4-6 5-7 6-5 7-8
And thus begins their incredible journey .	Commence alors leur incroyable voyage .	1-1 2-0 3-2 4-3 5-4 6-5
He fought against the Turks in Hungary .	Il avait combattu contre les turcs en Hongrie .	0-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8
Browning influenced nearly all categories of firearms design .	Browning influença presque toutes les catégories d' armes à feu .	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 6-8 6-9 8-10
In this capacity , he proposed a sister city relationship with Nueva Germania , Paraguay .	À ce titre , il a proposé une relation sœur avec Nueva Germania , au Paraguay .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 9-8 10-10 11-11 12-12 13-13 14-15 15-16
He was known for his cruelty .	Il est réputé pour sa cruauté .	0-0 1-1 2-2 3-3 4-4 5-5 6-6
The total number of speakers of Gbe languages is between four and eight million .	Le nombre total de locuteurs de langues gbe est entre quatre et huit millions .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-6 8-8 9-9 10-10 11-11 12-12 13-13 14-14
For the first time in ten years all of Europe was at peace .	À cette date , l' Europe se retrouva en paix pour la première fois depuis dix ans .	0-10 1-11 2-12 3-13 4-14 5-15 6-16 9-4 9-5 10-6 10-7 11-8 12-9 13-17
The Joint Research Centre of the European Commission is responsible for providing technical and scientific support to the initiative .	Le Centre commun de recherche de la Commission européenne est chargé d’ apporter un soutien technique et scientifique à l’ initiative .	0-0 1-2 2-3 2-4 3-1 4-5 5-6 6-8 7-7 8-9 9-10 10-11 11-12 12-15 13-16 14-17 15-14 16-18 17-19 18-20 19-21
UB40 are an English reggae and pop band , formed in December 1978 in Birmingham , England .	UB40 est un groupe britannique de reggae fondé en 1978 à Birmingham ( Angleterre ) .	0-0 1-1 2-2 3-4 4-5 4-6 7-3 
The Moon is Earth 's only natural satellite .	La Lune est l' unique satellite naturel de la Terre .	0-0 1-1 2-2 3-8 3-9 4-7 5-4 6-6 7-3 7-5 8-10
The Ukrainians on the prairies accepted him as a traveling holy man , a tradition which goes back to the very beginnings of Christianity .	Les Ukrainiens dans les Prairies l’ ont accepté , comme homme saint qui voyageait , une tradition qui remonte aux origines du christianisme .	0-0 1-1 2-2 3-3 4-4 5-6 5-7 6-5 7-9 9-12 9-13 10-11 11-10 12-14 13-15 14-16 15-17 16-18 17-18 18-19 19-19 21-20 22-21 23-22 24-23
In 1914 the First World War broke out .	En 1914 éclate la Première Guerre mondiale .	0-0 1-1 2-3 3-4 4-6 5-5 6-2 7-2 8-7
In 857 a chapel was built in Vlamertinge .	En 857 , une chapelle a été construite à Vlamertinge .	0-0 1-1 2-3 3-4 4-5 4-6 5-7 6-8 7-9 8-10
Competent authorities are the end users of IMI .	Les autorités compétentes sont les utilisateurs finaux d’ IMI .	0-2 1-0 1-1 2-3 3-4 4-6 5-5 6-7 7-8 8-9
Shortly after its discovery , Neptune was referred to simply as " the planet exterior to Uranus " or as " Le Verrier 's planet " .	Peu de temps après sa découverte , Neptune fut appelée simplement « la planète extérieure à Uranus » ou comme « planète Le Verrier » .	0-0 0-1 0-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 9-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-22 22-23 24-21 25-24 26-25
The most commonly used system for classifying the severity of croup is the Westley score .	Le système de classification de sévérité du croup le plus communément utilisé est le score de Westley .	0-0 1-8 1-9 2-10 3-11 4-1 5-2 6-3 7-4 8-5 9-6 10-6 10-7 11-12 12-13 14-14 13-15 13-16 15-17
ESF spending amounts to around 10 % of the EU 's total budget .	Les dépenses du FSE représentent environ 10 % du budget total de l’ UE .	0-2 0-3 1-0 1-1 2-4 4-5 5-6 6-7 7-8 8-8 9-12 9-13 10-11 11-10 12-9 13-14
Children with croup are generally kept as calm as possible .	Les enfants atteints de croup sont généralement gardés le plus calme possible .	0-0 0-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 7-10 8-9 9-11 10-12
This contradiction can not be resolved by classical physics .	Ce paradoxe est insoluble par la physique classique .	0-0 4-2 3-3 5-3 6-4 6-6 8-6 9-8
Euler mastered Russian and settled into life in Saint Petersburg .	Euler maîtrise assez rapidement le russe , puis il s' installe à Saint-Pétersbourg .	0-0 1-1 2-4 2-5 3-7 4-9 4-10 7-11 8-12 9-12 10-13
He has conducted wildlife requiems , including for a California Brown Pelican on the berm crest of a beach where the animal had fallen .	Il a dirigé les requiems de la faune , y compris pour un pélican brun de Californie sur le dessus du mur de sable d' une plage où l' animal était tombé .	0-0 1-1 2-2 3-5 3-6 3-7 4-3 4-4 5-8 6-9 6-10 7-11 8-12 9-15 9-16 10-14 11-13 12-17 13-18 14-20 14-21 14-22 14-23 15-19 16-24 17-25 18-26 19-27 20-28 21-29 22-30 23-31 24-32
In Moscow , with the support of the Sports Federation of the Blind , an Equal Opportunity Tournament was organized .	À Moscou , un Tournoi de l' égalité des chances a été organisé avec le soutien de la Fédération sportive des aveugles .	0-0 1-1 2-2 3-13 4-14 5-15 6-16 7-17 8-19 9-18 10-20 11-20 12-21 13-3 15-5 15-6 15-7 16-8 16-9 17-4 18-10 18-11 19-12 20-22
As the spectra of these stars vary due to the Doppler effect , they are called spectroscopic binaries .	Comme le spectre de ces étoiles varie à cause de l' effet Doppler , elles sont appelées binaires spectroscopiques .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-8 8-9 9-10 10-12 11-11 12-13 13-14 14-15 15-16 16-18 17-17 18-19
Thus any search for evidence in favor of a hypothesis is likely to succeed .	Ainsi , toute recherche de preuve en faveur d' une hypothèse est susceptible de réussir .	0-0 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15
It accounts for about 5 % of hospital admissions in this population .	Il représente environ 5 % des admissions à l' hôpital dans cette population .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-7 7-8 7-9 8-6 9-10 10-11 11-12 12-13
Some astronomers believe that ring galaxies are formed when a smaller galaxy passes through the center of a larger galaxy .	Les astronomes pensent que les galaxies à anneau se forment quand une galaxie traverse le centre d' une plus grande galaxie .	0-0 1-1 2-2 3-3 4-6 4-7 5-4 5-5 6-8 7-9 8-10 9-11 11-12 12-13 13-13 14-14 15-15 16-16 17-17 18-18 18-19 19-20 20-21
Each hand had four fingers , with no thumb .	Chaque main avait quatre doigts , sans pouce .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-7 9-8
This is how he made the majority of his income .	C' est ainsi qu' il a réalisé la plus grosse partie de sa fortune .	0-0 1-1 2-2 3-4 4-5 4-6 5-7 6-8 6-9 6-10 7-11 8-12 9-13 10-14
