This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه از گزارش ارزیابی عمومی اروپا ( EPAR ) است .
It is given once every three week a an intravenous infusion lasting 10 minute .	هر سه هفته یک‌بار به صورت انفوزیون داخل وریدی به مدت ۱۰ دقیقه تجویز شد#شو .
To reduce side effect , patient should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injection of vitamin B12 during treatment with Alimta .	برای کاهش عوارض جانبی ، بیمار باید کورتیکواستروئید و اسید فولیک ( نوعی ویتامین ) مصرف کرد#کن و در طول درمان با آلیمتا ، ویتامین B ۱۲ را تزریق کرد#کن .
When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluid ( to prevent dehydration ) should also be given before or after the cisplatin dose .	هنگامی‌که آلیمتا با سیس پلاتین تجویز شد#شو ، دارو ضد استفراغ ( برای جلوگیری از استفراغ ) و مایعات ( برای جلوگیری از کم آبی بدن ) نیز باید قبل یا بعد از دوز سیس پلاتین تجویز شد#شو .
Treatment should be delayed or discontinued , or the dose reduced , in patient whose blood count are abnormal or who have certain other side effect .	در بیمارانی که شمارش خون آنها غیرطبیعی است یا عوارض جانبی خاصی داشت#دار ، درمان باید به تعویق بیفتد یا قطع شد#شو یا دوز کاهش یابید#یاب .
Alimta is not recommended for use in patient with moderate or severe kidney problem .	استفاده از Alimta در بیمار مبتلا به مشکلات کلیوی متوسط یا شدید توصیه شد#شو .
For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	برای اطلاعات بیشتر ، به خلاصه ویژگی محصول ( همچنین بخشی از EPAR ) مراجعه کرد#کن .
How doe Alimta work ?	آلیمتا چگونه کار کرد#کن ؟
The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kill cell that are dividing , such-as cancer cell ) , which belongs to the group antimetabolite .	ماده فعال آلیمتا ، پمترکسد ، یک دارو سیتوتوکسیک ( دارویی که سلول در حال تقسیم مانند سلول سرطانی را از بین برد#بر ) است که به گروه آنتی‌متابولیت‌ها تعلق داشت#دار .
In the body , pemetrexed is converted into an active form that block the activity of the enzyme that are involved in producing nucleotide ( the building-blocks of DNA and RNA , the genetic material of cell ) .	در بدن ، پمترکسد به شکل فعالی تبدیل شد#شو که فعالیت آنزیم را که در تولید نوکلئوتید نقش داشت#دار ( بلوک سازنده DNA و RNA ، ماده ژنتیک سلول ) را مسدود کرد#کن .
How ha Alimta been studied ?	آلیمتا چگونه مورد مطالعه قرار گرفت#گیر ؟
For the treatment of malignant pleural mesothelioma , Alimta ha been studied in one main study in 456 patient who had not received chemotherapy for their disease before .	برای درمان مزوتلیومای بدخیم پلور ، آلیمتا در یک مطالعه اصلی بر روی ۴۵۶ بیمار که قبلا شیمی‌درمانی برای بیماری خود دریافت کرد#کن ، مورد بررسی قرار گرفت#گیر .
The effect of Alimta in combination with cisplatin were compared with those of cisplatin alone .	اثرات آلیمتا در ترکیب با سیس پلاتین با سیس پلاتین به تنهایی مقایسه شد#شو .
For the treatment of non-small cell lung cancer , the effect of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patient with locally advanced or metastatic disease who had received chemotherapy in the past .	برای درمان سرطان ریه سلول غیر کوچک ، اثرات آلیمتا با اثرات دوستاکسل ( یک دارو ضد سرطان دیگر ) در یک مطالعه که شامل ۵۷۱ بیمار مبتلا به بیماری پیشرفته موضعی یا متاستاتیک بود#است که در گذشته شیمی‌درمانی شد#شو ، مقایسه شد#شو .
Alimta wa also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patient who had not received chemotherapy for lung cancer in the past .	آلیمتا همچنین با جمسیتابین ( یکی دیگر از دارو ضد سرطان ) ، هر دو در ترکیب با سیس پلاتین ، در مطالعه شامل ۱۷۲۵ بیمار که در گذشته شیمی‌درمانی برای سرطان ریه دریافت کرد#کن ، مقایسه شد#شو .
In all three study , the main measure of effectiveness wa how long the patient survived .	در هر سه مطالعه ، معیار اصلی اثربخشی ، مدت زنده ماندن بیمار بود#است .
What benefit ha Alimta shown during the study ?	آلیمتا در طول مطالعات چه فواید را نشان داد#ده ؟
Alimta increased the survival time of patient with malignant pleural mesothelioma .	آلیمتا زمان بقا بیمار مبتلا به مزوتلیومای بدخیم پلور را افزایش داد .
Patients receiving Alimta and cisplatin survived for an average of 12.1 month , compared with 9.3 month in those receiving cisplatin alone .	بیمارانی که آلیمتا و سیس پلاتین دریافت کرد#کن به طور متوسط ۱۲ ٫ ۱ ماه زنده ماند#مان ، در حالی که این رقم در بیمارانی که به تنهایی سیس پلاتین دریافت کرد#کن ، ۹ ٫ ۳ ماه بود#است .
In the treatment of patient with non-small cell lung cancer , Alimta wa a effective a the comparators .	در درمان بیمار مبتلا به سرطان ریه سلول غیر کوچک ، Alimta به اندازه مقایسه کننده موثر بود#است .
In patient who had received chemotherapy in the past , the average survival time wa 8.3 month with Alimta , compared with 7.9 month with docetaxel .	در بیمارانی که در گذشته شیمی‌درمانی دریافت کرد#کن ، میانگین زمان بقا با آلیمتا ۸ ٫ ۳ ماه در مقایسه با ۷ ٫ ۹ ماه با دوستاکسل بود#است .
In patient who had not received chemotherapy in the past , the average survival time wa 10.3 month in both group .	در بیمارانی که در گذشته شیمی‌درمانی دریافت کرد#کن ، میانگین زمان بقا در هر دو گروه ۱۰ ٫ ۳ ماه بود#است .
However , in both study , patient whose cancer wa not affecting squamous cell had longer survival time if they received Alimta than if they received the comparator .	با این حال ، در هر دو مطالعه ، بیمارانی که سرطان آنها سلول سنگفرش را تحت تأثیر قرار داد#ده ، در صورت دریافت Alimta ، زمان بقا طولانی‌تری نسبت به دریافت دارو مقایسه‌کننده داشت#دار .
In contrast , patient whose cancer wa affecting squamous cell had shorter survival time if they received Alimta .	در مقابل ، بیمارانی که سرطان آنها سلول سنگفرش را تحت تأثیر قرار داد#ده ، در صورت دریافت Alimta ، زمان بقا کوتاه‌تری داشت#دار .
kalgebra is a mathematical calculator based on content markup MathML language .	kalgebra یک ماشین‌حساب ریاضی بر اساس نشانه‌گذاری محتوا زبان MathML است .
Nowadays it is capable to make simple MathML operation ( arithmetic and logical ) and to representate 2D and 3D graph .	امروزه قادر به انجام عملیات MathML ساده ( حسابی و منطقی ) و نمایش نمودار دو بعدی و سه‌بعدی است .
It is actually not necessary to know MathML to use kalgebra .	در واقع برای استفاده از کلجبرا نیازیدن#نیاز به دانستن MathML نیست .
kalgebra is a MathML based graph calculator .	kalgebra یک ماشین‌حساب گراف مبتنی بر MathML است .
Although it wa initially MathML oriented it can now be used by everyone with little mathematical knowledge .	اگرچه در ابتدا مبتنی بر MathML بود#است ، اکنون توانست#توان توسط همه افراد با دانش کمی ریاضی استفاده شد#شو .
Here 's a screenshot of kalgebra main window	در اینجا یک اسکرین شات از پنجره اصلی کلجبرا آمد#آ
kalgebra main window	پنجره اصلی کالجبرا
kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	پنجره اصلی kalgebra شامل یک تب Console ، یک زبانه Graph ۲ D ، یک Tab Graph ۳ D و یک زبانه Dictionary است .
Below these tab you will find an input field to type your function or do your calculation .	در زیر این برگه یک فیلد ورودی برای تایپ توابع یا انجام محاسبات خود پیدا کرد#کن .
If we want to understand how it work , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	اگر خواست#خواه فهمید#فهم که چگونه کار کرد#کن ، بهترین کاشت#کار که توانست#توان انجام داد#ده این است که متوجه شد#شو ورودی ما به MathML تبدیل شد#شو ، اگرچه نیازیدن#نیاز به دانستن MathML نیست .
I have based the syntax basically on common sense , it should not be hard for anyone .	من اساسا نحو را بر اساس عقل سلیم قرار داد#ده ، نباید برای کسی سخت باشید#باش .
I ve looked closely to maximum and maple s syntax so they look very similar .	من از نزدیک به ماکسیما و سینتکس maple نگاه کرد#کن ، بنابراین آنها بسیار شبیه به نظر رسید#رس .
+ - * / : Addition , subtraction , multiplication and division .	#خطا !
^ , ** : Power , you can use them both .	^ ، ** : قدرت ، توانست#توان از هر دو استفاده کرد#کن .
Also it is possible to use the unicode ² character .	همچنین امکان استفاده از کاراکتر unicode² وجود داشت#دار .
Powers are one way to make root too .	قدرت نیز یکی از راه ایجاد ریشه #هست .
-gt : It s the way to specify the bounded variable in a function .	-gt : راهی برای تعیین متغیر محدود در یک تابع است .
( ) : It is used to specify a higher priority .	( ) : برای تعیین اولویت بالاتر استفاده شد#شو .
abc(params) : When the parser find a function , it check if abc is an operator .	abc ( params ) : وقتی تجزیه کننده یک تابع را پیدا کرد#کن ، بررسی کرد#کن که آیا abc یک عملگر است یا خیر .
If it is , it will be treated a an operator , if it is not , it will be treated a a user function .	اگر اینطور باشید#باش ، به عنوان یک اپراتور در نظر گرفت#گیر ، اگر باشید#باش ، به عنوان یک تابع کاربر در نظر گرفت#گیر .
: = : It is used to define a variable value .	: = : برای تعریف مقدار متغیر استفاده شد#شو .
? : Piecewise condition definition .	? : تعریف شرط تکه .
Piecewise is the way we can define conditional operation in kalgebra .	روش است که ما توانست#توان عملیات شرطی را در کلجبرا تعریف کرد#کن .
If we introduce the condition before the ? it will use this condition only if it is true , if it find a ? without any condition , it will enter in the last instance .	اگر شرط را قبل از از این شرط فقط در صورتی استفاده کرد#کن که درست باشید#باش ، اگر a را پیدا کند ؟ بدون هیچ شرطی در آخرین مرحله وارد شد#شو .
{ } : MathML container .	{ } : ظرف MathML .
It can be used to define a container .	می‌توان از آن برای تعریف ظرف استفاده کرد#کن .
Mainly useful for working with piecewise .	عمدتا برای کار با تکه مفید است .
Now you could ask me , why should the user mind about MathML ?	حالا توانست#توان از من پرسید#پرس ، چرا کاربر باید به MathML توجه کند ؟
That s easy . With this , we can operate with function like cos() , sin() , any other trigonometric function , sum() or product() .	آسان است . با این کار ، توانست#توان با توابع مانند cos ( ) ، sin ( ) ، هر توابع مثلثاتی دیگر ، sum ( ) یا product ( ) کار کرد#کن .
It doe not matter what kind it is .	فرق کرد#کن چه نوع باشید#باش .
We can use plus() , times() and everything which ha it operator .	توانست#توان از plus ( ) ، times ( ) و هر چیزی که عملگر خود را داشت#دار استفاده کرد#کن .
kalgebra 's console is useful a a calculator .	کنسول kalgebra به عنوان یک ماشین‌حساب مفید است .
There you have a list of the declared variable .	در آنجا لیست از متغیر اعلام‌شده داشت#دار .
By double clicking on them you will see a dialog that let you change their value ( just a way to trick the log ) .	با دوبار کلیک کردن بر روی آنها ، یک گفتگو دید#بین که به شما امکان داد#ده مقادیر آنها را تغییر داد#ده ( فقط راهی برای فریب دادن گزارش ) .
"Every time you enter an expression , the "" an "" variable value will be changed to the last result ."	هر بار که یک عبارت را وارد کرد#کن ، مقدار متغیر &quot;ans&quot; به آخرین نتیجه تغییر کرد#کن .
Ctrl N New Window	Ctrl N پنجره جدید
Flushes the log .	سیاهه را شستشو داد#ده .
Ctrl L Load Script	Ctrl L Load Script
Executes the instruction in a file sequentially .	دستورالعمل موجود در یک فایل را به صورت متوالی اجرا کرد#کن .
Nice if you want to define some library or resume some previous work .	خوب است اگر خواست#خواه چند کتابخانه تعریف کرد#کن یا کارهای قبلی را از سر گرفت#گیر .
Ctrl G Save Script	Ctrl G ذخیره اسکریپت
Saves the instruction you have typed since the session began to be able to reuse .	دستورالعمل را که از زمان شروع جلسه تایپ کرد#کن ذخیره کرد#کن تا توانست#توان دوباره از آن استفاده کند .
Generates text file so it should be easy to fix using any text editor , like Kate .	فایل متنی تولید کرد#کن ، بنابراین باید با استفاده از هر ویرایشگر متنی ، مانند Kate ، آن را به راحتی برطرف کرد#کن .
Ctrl S Save Log	Ctrl S ذخیره گزارش
Saves the log with all result into an HTML file to be able to print or publish .	گزارش را با تمام نتایج در یک فایل HTML ذخیره کرد#کن تا توانست#توان چاپ یا منتشر کند .
Ctrl Q Quit	Ctrl Q خروج
Shuts the program down .	برنامه را خاموش کرد#کن .
To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	برای افزود#افزا یک نمودار ۲ بعدی جدید در کالجبرا ، کاشت#کار که باید انجام داد#ده این است که به برگه ۲ D Graph رفته و روی زبانه Add کلیک کرد#کن تا تابع جدید اضافه شد#شو .
Then your focus will go to an input text box where you can type your function .	سپس تمرکز شما به کادر متنی ورودی رفت#رو که در آن توانست#توان تابع خود را تایپ کرد#کن .
If you want to use a typical f(x) function it is not necessary to specify it .	اگر خواست#خواه از یک تابع معمولی f ( x ) استفاده کرد#کن ، لازم نیست آن را مشخص کرد#کن .
If you have entered the function click on the OK button to display the graph in the main window .	اگر تابع را وارد کرد#کن روی دکمه OK کلیک کرد#کن تا نمودار در پنجره اصلی نمایش داد#ده .
You can set several graph on the same view .	توانست#توان چندین نمودار را روی یک نمود#نما یکسان تنظیم کرد#کن .
Just use the Add button when you are in List mode .	زمانی که در حالت لیست #هست فقط از دکمه Add استفاده کرد#کن .
You can set each graph it own color .	شما توانست#توان هر نمودار را رنگ خاص خود را تنظیم کرد#کن .
The Foundation ha recently been involved in organising a conference which dealt with this critical challenge .	این بنیاد اخیرا در سازماندهی کنفرانس مشارکت داشت#دار که به این چالش حیاتی پرداخت#پرداز .
Over 100 participant from the main interest group attended and debated issue such a the role of key actor including public authority , social partner , voluntary and community organisation a well a service user .	بیش از ۱۰۰ شرکت‌کننده از گروه ذینفع اصلی در آن شرکت کرد#کن و در مورد موضوعات مانند نقش بازیگر کلیدی از جمله مقامات دولتی ، شرکا اجتماعی ، سازمان داوطلبانه و اجتماعی و همچنین کاربر خدمات بحث کرد#کن .
There were relatively few case reported of attempt to involve user in service planning but their involvement in service provision wa found to be more common .	موارد نسبتا کمی از تلاش برای مشارکت دادن کاربر در برنامه‌ریزی خدمات گزارش‌شده است ، اما مشارکت آنها در ارائه خدمات رایج است .
Note wa also taken of the variety of different role played by public welfare	همچنین به تنوع نقش مختلف رفاه عمومی توجه شد#شو
The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare service .	این بنیاد به همراه کمیسیون اروپا ، وزارت امور اجتماعی اسپانیا و دولت منطقه‌ای گالیسیا ، یک کنفرانس اروپایی در مورد طرد اجتماعی : یک چالش بزرگ برای خدمات رفاه عمومی را سازماندهی کرد#کن .
The Foundation recently published a comparative study a part of the EPOC project which ass the extent to which direct participation can humanise work while increasing profitability .	این بنیاد اخیرا یک مطالعه تطبیقی را به عنوان بخشی از پروژه EPOC منتشر کرد#کن که میزان مشارکت مستقیم توانست#توان کار را در عین افزایش سودآوری انسان‌سازی کند ، ارزیابی کرد#کن .
The study is based on 195 personal interview with senior official of the social partner a representative of national level peak organisation in fifteen European country .	این مطالعه بر اساس ۱۹۵ مصاحبه شخصی با مقامات ارشد شرکا اجتماعی به عنوان نمایندگان سازمان اوج سطح ملی در پانزده کشور اروپایی است .
As important industrial sector , the metal industry and the banking sector were also included .	به عنوان بخش مهم صنعتی ، صنایع فلزی و بخش بانکی نیز شامل شد#شو .
Key speaker at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	سخنران کلیدی در کنفرانس طرد اجتماعی عبارت بود#است از ( از چپ به راست ) کریستینا لورو ، اداره استخدام ، روابط صنعتی و امور اجتماعی ، کمیسیون اروپا فرناندو گومز ، یک درجه عالی از کمیته مناطق باربارا ویلر ، عضو پارلمان اروپا خوزه ماریا گیل- روبلز ، معاون پارلمان اروپا و جان کارول ، کمیته اقتصادی و اجتماعی .
Case Studies Each national report contains a portfolio of between 25 and 30 initiative which best present policy and practice to improve the recruitment , training and development of ageing worker in both the work place and the community .	مطالعات موردی هر گزارش ملی شامل مجموعه از بین ۲۵ تا ۳۰ ابتکار است که به بهترین وجه سیاست و شیوه را برای بهبود استخدام ، آموزش و توسعه کارگران سالخورده در محل کار و جامعه ارائه داد#ده .
For each country , two or three initiative have been selected for further in depth case study .	برای هر کشور ، دو یا سه طرح برای مطالعه موردی عمیق انتخاب‌شده است .
These case study analysed the background of the initiative , their impact on employment pattern and work organisation and assessed the benefit and problem of the initiative .	این مطالعات موردی پیشینه ابتکارات ، تأثیر آنها بر الگو اشتغال و سازمان کاشت#کار را تجزیه و تحلیل کرده و مزایا و مشکلات ابتکار را ارزیابی کرد#کن .
Visits and interview with key personnel were also undertaken .	بازدید و مصاحبه با پرسنل کلیدی نیز انجام شد#شو .
These national study will form the basis of a European report which synthesis overall practice .	این مطالعات ملی اساس یک گزارش اروپایی را تشکیل داد#ده که شیوه کلی را ترکیب کرد#کن .
The report and a case book of initiative will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	گزارش و کتاب موردی از ابتکارات در سال ۱۹۹۶ منتشر شد#شو و زمینه برگزاری کنفرانس را فراهم کرد#کن که در پاییز ۹۶ برگزار شد#شو .
The Foundation aim to document the characteristic of age barrier in job recruitment and training and to analyse their cause .	هدف این بنیاد مستندسازی ویژگی موانع سنی در استخدام و آموزش و تحلیل علل آن است .
The perspective of the social partner is also being examined , with particular attention paid to proposal for removing age barrier .	دیدگاه شرکا اجتماعی نیز با توجه ویژه به پیشنهادات برای حذف موانع سنی مورد بررسی قرار گرفت#گیر .
Thirdly , the project document and ass initiative , in both the public and private sector which combat age barrier , especially for older worker .	ثالثا ، پروژه ابتکارات را در هر دو بخش دولتی و خصوصی که با موانع سنی ، به ویژه برای کارگران مسن مبارزه کرد#کن ، مستند و ارزیابی کرد#کن .
Seeking alternative to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older worker .	به دنبال جایگزینی برای بازنشستگی پیش از موعد و اخراج ، این پروژه در درجه اول به حفظ ، ادغام مجدد و بازآموزی کارگران مسن پرداخت#پرداز .
The gender and ethnic background of worker and how these relate to age discrimination are examined .	پیشینه جنسیتی و قومیت کارگران و چگونگی ارتباط آنها با تبعیض سنی مورد بررسی قرار گرفت#گیر .
The project also considers initiative to combat age discrimination in rural area and in small and medium sized enterprise .	این پروژه همچنین ابتکارات را برای مبارزه با تبعیض سنی در مناطق روستایی و در شرکت کوچک و متوسط در نظر گرفت#گیر .
Seven member state are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	هفت کشور عضو تحت پوشش این پروژه #هست : بلژیک ، فرانسه ، آلمان ، یونان ، ایتالیا ، هلند و بریتانیا .
This document is a summary of the European Public Assessment Report .	این سند خلاصه از گزارش ارزیابی عمومی اروپا است .
It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the study performed , to reach their recommendation on how to use the medicine .	این توضیح داد#ده که چگونه کمیته محصولات دارویی برای استفاده دامپزشکی ( CVMP ) مطالعات انجام‌شده را ارزیابی کرد#کن تا به توصیه آنها در مورد نحوه استفاده از دارو رسید#رس .
What is Cerenia ?	سرنیا چیست ؟
Cerenia contains the active substance maropitant and is available a tablet or a solution for injection .	سرنیا حاوی ماده فعال ماروپیتانت است و به صورت قرص یا محلول تزریقی موجود است .
The tablet are pale-orange and have a score line on both side so that they can be halved .	این قرص به رنگ نارنجی کم‌رنگ #هست و در هر دو طرف دارای یک خط نمره #هست که می‌توان آنها را نصف کرد#کن .
Each tablet is marked with the Pfizer logo on one side and with the letter MPT and the quantity of maropitant on the other side .	هر تبلت در یک‌طرف با نشان فایزر و در طرف دیگر با حروف MPT و مقدار maropitant مشخص‌شده است .
What is Cerenia used for ?	Cerenia برای چه موارد استفاده شد#شو ؟
Cerenia is an anti-emetic , this mean that it stop vomiting .	سرنیا ضد استفراغ است ، به این معنی که استفراغ را متوقف کرد#کن .
It is used in dog to prevent vomiting such a vomiting caused by chemotherapy ( medicine used for the treatment of cancer , some of which are known to cause vomiting ) .	در سگ برای جلوگیری از استفراغ مانند استفراغ ناشی از شیمی‌درمانی ( دارو که برای درمان سرطان استفاده شد#شو ، که برخی از آنها باعث استفراغ شد#شو ) استفاده شد#شو .
In combination with supportive measure such a other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either a injection or a injection followed by tablet ) .	در ترکیب با اقدامات حمایت مانند سایر درمان دامپزشکی یا رژیم غذایی خاص ، سرنیا توانست#توان در درمان استفراغ نیز استفاده شد#شو ( چه به صورت تزریقی و چه به صورت تزریقی و به دنبال آن قرص ) .
For these purpose , Cerenia can be given for up-to five day	برای این منظور ، Cerenia توانست#توان تا پنج روز داد#ده
How doe Cerenia work ?	سرنیا چگونه کار کرد#کن ؟
Cerenia block a neurokinin 1 ( NK1 ) receptor , which act in the central nervous system .	سرنیا گیرنده نوروکینین ۱ ( NK ۱ ) را که در سیستم عصبی مرکزی عمل کرد#کن مسدود کرد#کن .
How ha Cerenia been studied ?	Cerenia چگونه مورد مطالعه قرار گرفت#گیر ؟
A large number of study with Cerenia were carried out either in laboratory dog or in animal patient at veterinary practises in several European country and in the USA .	تعداد زیادی از مطالعات با Cerenia بر روی سگ آزمایشگاه یا در بیمار حیوانی در مراکز دامپزشکی در چندین کشور اروپایی و در ایالات‌متحده انجام شد#شو .
What benefit ha Cerenia shown during the study ?	Cerenia در طول مطالعات چه فواید را نشان داد#ده ؟
The result of the study showed that Cerenia wa more effective than the placebo : le vomiting wa seen in dog that received the medicine than in dog that received a placebo , both in the treatment or in the prevention of vomiting .	نتایج مطالعات نشان داد که Cerenia موثر از دارونما بود#است : در سگ که دارو را دریافت کرد#کن ، استفراغ کمتر نسبت به سگ که دارونما دریافت کرد#کن ، هم در درمان و هم در پیشگیری از استفراغ مشاهده شد#شو .
The treatment of a vomiting dog should be started with the injection , since vomiting animal might not be able to keep a tablet down ( a they might throw the intact tablet up again ) .	درمان سگ دارای استفراغ باید با تزریق شروع شد#شو ، زیرا حیوانات استفراغ ممکن است توانست#توان قرص را پایین نگه داشت#دار ( زیرا ممکن است دوباره قرص دست‌نخورده را به بالا پرتاب کرد#کن ) .
For follow-up treatment , the animal owner can administer the tablet to the dog .	برای درمان بعدی ، صاحب حیوان توانست#توان قرص را به سگ داد#ده .
Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying cause of the vomiting .	همچنین ، درمان استفراغ تنها باید همراه با سایر اقدامات حمایت یا سایر درمان دامپزشکی باشید#باش و در عین حال به علل زمینه استفراغ رسیدگی شد#شو .
What is the risk associated with Cerenia ?	خطر مرتبط با سرنیا چیست ؟
Cerenia wa generally well tolerated when administered daily at dosage up to 5 time the recommended dos for an extended period of time ( up to 3 time the recommended maximum duration of treatment ) .	سرنیا به طور کلی زمانی که روزانه در دوز حداکثر ۵ برابر دوز توصیه‌شده برای مدت زمان طولانی ( تا ۳ برابر حداکثر مدت زمان توصیه‌شده درمان ) تجویز شد#شو ، به خوبی تحمل شد#شو .
What are the precaution for the person who give the medicine or come into contact with the animal ?	برای فردی که دارو را داد#ده یا با حیوان تماس گرفت#گیر چه احتیاط لازم است ؟
Cerenia doe not represent a particular risk for people .	Cerenia خطر خاصی را برای مردم نشان داد#ده .
